Description,enrichmentScore,NES,rank,Count,Group,log_padj
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II,0.665764281055172,2.05638400513721,3102,17,2,2.06901034678715
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN,0.538110321086645,1.99496264834916,4351,30,2,2.41810870390669
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II,0.604439251739651,1.99298701428499,3279,18,2,2.00013843987121
GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,0.371253531736094,1.6341562245929,3599,42,2,2.0961419470373
GOBP_IMMUNOGLOBULIN_PRODUCTION,0.472251999968438,1.98464223855998,3233,33,2,3.69188022980805
GOBP_IMMUNOGLOBULIN_PRODUCTION_INVOLVED_IN_IMMUNOGLOBULIN_MEDIATED_IMMUNE_RESPONSE,0.47223291631199,1.8208495022274,3599,23,2,1.86819859526374
GOBP_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS,0.514637243012579,1.92086420597768,3956,27,2,2.05982765432314
GOBP_INNATE_IMMUNE_RESPONSE_ACTIVATING_SIGNAL_TRANSDUCTION,0.735087741751542,2.20654468302664,2410,6,2,2.2848067652482
GOBP_INTERFERON_GAMMA_PRODUCTION,0.414875497800402,1.72360878397015,3279,34,2,1.63386693438164
GOBP_INTERLEUKIN_1_PRODUCTION,0.434202843745083,1.73012014411581,3427,28,2,1.79083473784352
GOBP_INTERLEUKIN_10_PRODUCTION,0.483581639008368,1.74349786770798,3909,23,2,1.47416465993269
GOBP_LYMPHOCYTE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,0.413320160849218,1.85715249170383,3921,58,2,3.97333723230721
GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY,0.409356075585491,1.89172617985666,3278,73,2,5.41951552241838
GOBP_MACROPHAGE_ACTIVATION,0.421901604223164,1.70108125561414,3281,26,2,1.86819859526374
GOBP_MATURE_B_CELL_DIFFERENTIATION,0.665249726749987,2.1475011212592,2146,9,2,2.31896505224597
Cap-dependent Translation Initiation,0.786725171120935,3.27573441537946,2435,77,3,27.267873303649
DNA Damage/Telomere Stress Induced Senescence,0.447426670445008,1.76598061816139,3411,23,3,2.16330640190307
DNA Double Strand Break Response,0.448709887528303,1.77176966323999,4296,24,3,2.14432339202639
DNA methylation,0.499861717988151,1.83114241669679,3393,23,3,2.41779395376554
DNA Repair,0.264739117765701,1.23383984694336,5756,104,3,1.57951434982206
DNA Replication,0.367764208923111,1.61534633336917,6083,85,3,3.1194513101602
DNA Replication Pre-Initiation,0.400403571162348,1.7333014388595,4765,57,3,3.46914872398515
Eukaryotic Translation Elongation,0.853478467126272,3.44534124473658,2435,76,3,30.189548365196
Eukaryotic Translation Initiation,0.786725171120935,3.27573441537946,2435,77,3,27.267873303649
Eukaryotic Translation Termination,0.846342095344874,3.37153699168337,2435,73,3,29.5035862109749
Formation of a pool of free 40S subunits,0.825483190020495,3.36179570396954,2435,76,3,27.6427180414572
GOBP_CYTOPLASMIC_TRANSLATION,0.704144861777617,3.03309584806216,2417,75,3,19.8985783372735
GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,0.870543653224358,3.18289652243826,2080,41,3,18.9980535314497
GOCC_CYTOSOLIC_RIBOSOME,0.838106972817257,3.38624286337676,2435,74,3,30.0895261287038
GOCC_RIBOSOMAL_SUBUNIT,0.719199953891259,3.18049664332107,4199,105,3,28.9346662833338
GOCC_RIBOSOME,0.686656005471475,3.14234749583557,4199,112,3,28.2073039498178
GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME,0.731114793469888,3.14278917777745,4199,103,3,28.1457667302864
Major pathway of rRNA processing in the nucleolus and cytosol,0.641681015938999,2.83542107975561,4515,106,3,21.190706228849
Mitochondrial protein import,0.435200542794808,1.6298412885117,5087,31,3,1.56938272086711
Mitochondrial translation,0.573999204104539,2.31713301333325,6394,56,3,6.30852906722932
Mitochondrial translation elongation,0.584649506449194,2.32192545960173,6394,53,3,5.92150596642787
Mitochondrial translation initiation,0.572864274554509,2.27512061382366,6394,53,3,5.51027490344874
Mitochondrial translation termination,0.577733632744759,2.29445918612919,6394,52,3,5.69115153271988
Translation,0.646897346665286,2.99823320358977,5175,166,3,33.1710418543917
Translation initiation complex formation,0.74794192864214,2.77579428077489,3047,38,3,10.2951025130426
translation initiation factor activity,0.566981675291182,2.05361246421298,6161,29,3,1.95407732368698
"translation regulator activity, nucleic acid binding",0.40471840344005,1.64897370425473,6313,48,3,1.47855974551721
Cellular response to chemical stress,0.377460879071847,1.67950906968796,5093,70,4,3.5191362665872
Cellular response to hypoxia,0.425622462054715,1.67630902403761,6083,38,4,1.8464693655034
Cellular response to starvation,0.688683320144885,2.98123162653231,2435,81,4,21.4534069893863
Cellular Senescence,0.380488229060842,1.67980373987586,1993,30,4,3.46371880603181
